stop_name,latitude,longitude
Beach Road,10.1743158,76.1759077
Ayyaar Valavu,10.1801797,76.1720955
IR Valavu,10.1802576,76.1724213
Mahilappadi,10.123501,76.2387995
Mahilappadi,10.123653,76.2388447
Pukkaad,10.0307663,76.2391666
Thekke Naaluvazhi,10.1404953,76.2294122
Kanjirakkad,10.1266778,76.4731791
,10.1156557,76.4818259
Civil Station,10.1175072,76.4802381
Kalady Junction,10.116796,76.4759331
Kolancheri Kavala,10.113796,76.4755196
KSRTC,10.1950542,76.3861334
Companypady,10.0886248,76.3435051
Manthrakkal Junction,10.0882451,76.3460805
Railway Station,9.9468433,76.3533759
Shenoys,9.9768053,76.2852792
Puthiyakavu Valavu,9.9238681,76.3567448
Valiyakulam,9.9063352,76.3671886
Vattolipady Bus Stop,10.1132053,76.5085817
MBITS Bus Stop,10.0581649,76.6713033
,10.0583102,76.6701607
,10.0580923,76.6687025
Pallippady,10.130859,76.4704296
BUS STOP,10.1360232,76.46765
Vallam,10.1354258,76.4678788
Vallam,10.1357093,76.4677733
Okkal,10.1521062,76.4509497
Garage KSRTC,10.0925134,76.3456958
,10.0108175,76.6059225
BMC,10.0375156,76.3386604
Municipal Town Hall,10.0445434,76.3176445
Municipal Town Hall,10.0444958,76.3173399
Thankalam,10.0690173,76.6131121
Odakkali Shappumpadi,10.0952063,76.5553893
Pattimattom,10.0253203,76.4495905
Millupadi,10.1830286,76.410128
Palam Bus Stop,10.0736136,76.508065
kothamangalam bus stop,10.0647975,76.6255247
Punnakkal,10.0193095,76.2913756
Pipeline,10.0332714,76.3252333
Ramapuram junction,9.8585177,76.5942848
Kerala State Road Transport Corporation Bus Stop,9.8655881,76.5967772
Paingotoor Bus Stop,10.0071953,76.7105515
Thrikathra,9.9851335,76.3520683
alinchuvadu bus stop (location on road),10.033507,76.4328867
kozhivettomvely,9.9841118,76.3300749
Edakochi,9.895076,76.2960318
"Vjcet ladies Hostel Junction, Parikapeedika, Vazhakulam",9.9483767,76.6306185
വെള്ളൂർകുന്നം ബസ് സ്റ്റോപ്പ്,9.9896067,76.5785678
Kizhakombu Valappu Junction Bus Stop,9.8696141,76.5748795
Mudikkarai bus stop,10.111321,76.5310248
Palakkuzha Bus Stop,9.8811281,76.6057076
Vadavucode,9.9853899,76.4287921
Kavumthazham,9.9712285,76.4268251
Convent,10.163079,76.434859
Kadayirippu PO,10.0004581,76.4582974
Kizhakkambalam Market,10.0374354,76.4106832
parakkadavu bus stop,10.189405,76.3237051
Chethicode,10.1635186,76.405786
Atlas,10.1639513,76.4018501
Twenty 20 Nagar,10.0392189,76.4048565
"Radio Kavala,Mekalady",10.1728201,76.4539809
Puthuppadi School,10.005874,76.6039558
Wire Ropes Junction,10.0620654,76.3952404
Kavumpady Bus Stop,10.034933,76.5461129
Puthupady Varappetty Jn,10.0084841,76.605471
GTN Junction,10.0892327,76.3878175
Chullikkal,9.9450121,76.2579477
ksrtc bus stop,9.9572613,76.6237102
Edappally,10.0222975,76.3065773
Edapally Palli,10.0208021,76.3059307
NGO Quarters,10.0209151,76.3350043
Kakkanad District Hospital,10.0180856,76.3458115
Kottamam,10.1779539,76.4597136
Vazhappilly,10.0636633,76.2772205
Rayamangalam,10.0851568,76.5196443
Library Bus Stop,10.0833069,76.6281538
Padammali,10.092587,76.6262206
Karingazha,10.0889982,76.6273927
Chengamanad,10.1535609,76.340438
Amrita Institute of Medical Science,10.0338856,76.2940453
karakkattukkunnu,10.1676311,76.3548157
SN College,10.0091105,76.4468059
